common常见贴图
sprite_common_activestatus.NPK                              异常状态效果
sprite_common_changedeffect.NPK                         之前赛MM卖的花
sprite_common_commoneffect.NPK                              常见特效
sprite_common_commoneffect_avenger_aimpoint.npk  复仇者使用天灾降临时的准心魔法阵
sprite_common_commoneffect_cure.NPK                         净化特效
sprite_common_commoneffect_forcefield.NPK                   常见特效
sprite_common_commoneffect_new_superarmor.NPK        受远程攻击后霸体化效果
sprite_common_commoneffect_status_effect.NPK                一些Buff和Debuff的效果
sprite_common_digit.NPK                                     等级数字
sprite_common_digit_level02.NPK                         第四季等级数字
sprite_common_digit_sp.NPK                                  sp数字
sprite_common_digit_tp.NPK                                   tp数字
sprite_common_etc.NPK                           常见贴图,如BOSS坐标、伤害数字等
sprite_common_hiteffect.NPK                                 物理攻击命中效果
sprite_common_hiteffect_age 12.NPK                          少儿版物理攻击命中效果
sprite_common_hiteffect_china.NPK                           法师水浒时装的云
sprite_common_hiteffect_elementalhiteffect.NPK              元素属性攻击特效
sprite_common_hiteffect_optionaldamagerate.NPK              击中效果
sprite.NPK                                            登陆界面
sprite_character.NPK                       默认角色头像和角色轮廓
sprite_character_common.NPK                                 通用技能图标
sprite_character_common_8thrare_effect.NPK          时装特效
sprite_character_common_aura.npk                            时装光环
sprite_character_common_bustermode.NPK                 n种爆炸效果
sprite_character_common_customui.NPK    左下角显示各种BUFF的剩余时间和使用次数
sprite_character_common_fallingeffect.NPK          貌似卡勒特角色骑的飞船
sprite_character_common_footprint.npk                         穿着天空7时的移动效果
sprite_character_common_personalcast.NPK       玩家号数和施放BUFF时的目标选择
sprite_character_common_privatestore_donkey.NPK             商店和驴
sprite_character_common_teleport_after.npk                  传送后特效
sprite_character_common_teleport_before.npk                 传送前特效
sprite_character_common_teleport_wait.npk                   传送时特效
sprite_character_common_weaponavatar_1.NPK            名称装饰卡
sprite_character_common_weaponavatar_2.NPK            时装特效

character角色
黑暗武士
sprite_character_demonicswordsman.NPK                         空的
sprite_character_demonicswordsman_effect.NPK 暗影斩、冥光斩、暗影 . 波动剑、冥魂之陨、
sprite_character_demonicswordsman_effect_ashenfork.NPK               类似波动暗杀
sprite_character_demonicswordsman_effect_blastblood.NPK        暗劲爆发
sprite_character_demonicswordsman_effect_bloodsword.NPK        破魂之刃
sprite_character_demonicswordsman_effect_bloodyrave.NPK        灭魂封魔斩
sprite_character_demonicswordsman_effect_chargecrash.NPK       暗影升龙击 
sprite_character_demonicswordsman_effect_combostep.NPk      施放下一个阶段技能的效果
sprite_character_demonicswordsman_effect_flowmindone.NPK       突刺
sprite_character_demonicswordsman_effect_flowmindpowerup.NPK 
sprite_character_demonicswordsman_effect_flowmindthree.NPK
sprite_character_demonicswordsman_effect_flowmindtwo.NPK       跃斩
sprite_character_demonicswordsman_effect_ghostsidewind.NPK     暗影鞭
sprite_character_demonicswordsman_effect_ghoststepslash.NPK    禁魂斩
sprite_character_demonicswordsman_effect_gorecross.NPK         暗黑十字斩
sprite_character_demonicswordsman_effect_grabblastblood.NPK    暗魂之手
sprite_character_demonicswordsman_effect_hopsmash.NPK               类似突刺
sprite_character_demonicswordsman_effect_illusionslash.NPK     魔影剑舞
sprite_character_demonicswordsman_effect_jumpattackmulti.NPK   
sprite_character_demonicswordsman_effect_kalla.NPK             冥炎破空斩
sprite_character_demonicswordsman_effect_momentaryslash.NPK    破灭斩
sprite_character_demonicswordsman_effect_moonslash.NPK        暗月斩
sprite_character_demonicswordsman_effect_outragebreak.NPK     魔狱裂魂斩
sprite_character_demonicswordsman_effect_rapidmoveslash.NPK   突刺
sprite_character_demonicswordsman_effect_reflectguard.NPK     冥魂珠
sprite_character_demonicswordsman_effect_shockwavearea.NPK    凝魂波动阵
sprite_character_demonicswordsman_effect_dark_hadouken.NPK    邪影·波动剑
sprite_character_demonicswordsman_effect_triplestab.NPK       暗影三击剑
sprite_character_demonicswordsman_effect_vaneslash.NPK        漩涡斩
sprite_character_demonicswordsman_effect_wavespinarea.NPK     黑暗冥王阵
格斗家♂
时装
sprite_character_fighter_atequipment_avatar_belt.NPK        腰部
sprite_character_fighter_atequipment_avatar_cap.NPK         帽子
sprite_character_fighter_atequipment_avatar_coat.NPK        上衣
sprite_character_fighter_atequipment_avatar_face.NPK        脸部
sprite_character_fighter_atequipment_avatar_hair.NPK        头发
sprite_character_fighter_atequipment_avatar_neck.NPK        胸部
sprite_character_fighter_atequipment_avatar_pants.NPK       下装
sprite_character_fighter_atequipment_avatar_shoes.NPK       裤子
sprite_character_fighter_atequipment_avatar_skin.NPK        皮肤
武器
sprite_character_fighter_atequipment_weapon_arm.NPK          机械臂铠
sprite_character_fighter_atequipment_weapon_boneclaw.NPK    骨爪
sprite_character_fighter_atequipment_weapon_boxglove.NPK    拳套
sprite_character_fighter_atequipment_weapon_claw.NPK           爪
sprite_character_fighter_atequipment_weapon_gauntlet.NPK    臂铠
